seq,IR,Red
18,224019,204547
18,224012,204530
18,224025,204415
18,224019,204440
18,224010,204410
18,224014,204395
18,224014,204419
18,224027,204441
18,224022,204405
18,224040,204411
18,224045,204400
19,224047,204444
19,224065,204394
19,224072,204357
19,224082,204393
19,224074,204447
19,224074,204390
19,224077,204402
19,224082,204394
19,224084,204427
19,224084,204405
19,224086,204449
19,224085,204364
19,224095,204418
19,224093,204351
19,224092,204389
19,224089,204377
19,224090,204383
19,224089,204360
19,224080,204387
19,224099,204369
19,224087,204444
19,224094,204348
19,224096,204442
19,224102,204396
19,224103,204334
19,224108,204356
19,224096,204363
19,224109,204366
19,224110,204352
19,224116,204411
19,224103,204390
19,224117,204415
20,224128,204421
20,224126,204341
20,224123,204389
20,224129,204380
20,224146,204389
20,224130,204434
20,224140,204414
20,224154,204410
20,224144,204406
20,224145,204411
20,224172,204435
20,224160,204457
20,224166,204355
20,224173,204438
20,224165,204381
20,224156,204391
20,224168,204425
20,224185,204380
20,224162,204407
20,224182,204421
20,224173,204394
20,224182,204346
20,224163,204407
20,224170,204410
20,224172,204411
20,224160,204368
20,224172,204416
20,224176,204360
20,224167,204371
20,224186,204414
20,224184,204438
20,224183,204389
21,224056,204491
21,224040,204479
21,224033,204473
21,224002,204362
21,223978,204432
21,223960,204376
21,223955,204401
21,223934,204415
21,223915,204419
21,223930,204379
21,223914,204418
21,223922,204393
21,223943,204459
21,223954,204456
21,223958,204365
21,223964,204462
21,223970,204407
21,223973,204462
21,223985,204426
21,223990,204435
21,223981,204423
21,223991,204452
21,224004,204439
21,223994,204445
21,224018,204443
21,224004,204430
21,223999,204423
21,223981,204351
21,223991,204388
21,223994,204320
21,223979,204366
21,223993,204369
22,223984,204319
22,224004,204383
22,223995,204346
22,223995,204358
22,224010,204383
22,224004,204289
22,223986,204308
22,223983,204342
22,223989,204313
22,223991,204326
22,223985,204376
22,224003,204357
22,224018,204379
22,224005,204378
22,224015,204352
22,224011,204403
22,224006,204381
22,224019,204390
22,224021,204306
22,224015,204404
22,224021,204386
22,224024,204382
22,224015,204406
22,224019,204363
22,224026,204386
22,224025,204477
22,224016,204398
22,224029,204376
22,224025,204374
22,224018,204404
22,224029,204462
22,224034,204355
23,224044,204392
23,224048,204405
23,224040,204351
23,224052,204410
23,224051,204351
23,224043,204444
23,224038,204319
23,224052,204325
23,224048,204369
23,224050,204377
23,224064,204406
23,224061,204355
23,224073,204344
23,224078,204455
23,224095,204481
23,224070,204451
23,224079,204429
23,224102,204472
23,224094,204509
23,224103,204429
23,224102,204441
23,224090,204474
23,224108,204394
23,224098,204424
23,224091,204447
23,224113,204476
23,224107,204456
23,224107,204476
23,224116,204421
23,224122,204438
23,224123,204463
23,224119,204430
24,224113,204433
24,224140,204510
24,224151,204418
24,224153,204428
24,224155,204417
24,224145,204381
24,224156,204447
24,224165,204436
24,224170,204429
24,224160,204494
24,224165,204431
24,224164,204412
24,224172,204418
24,224175,204401
24,224161,204465
24,224161,204434
24,224181,204436
24,224182,204511
24,224177,204404
24,224184,204418
24,224129,204459
24,224111,204417
24,224087,204419
24,224070,204366
24,224040,204415
24,224024,204404
24,224021,204363
24,223979,204322
24,223964,204342
24,223964,204335
24,223939,204360
24,223938,204374
25,223954,204381
25,223966,204318
25,223977,204371
25,223981,204399
25,223985,204330
25,224009,204402
25,224006,204361
25,224017,204338
25,224022,204350
25,224023,204364
25,224028,204392
25,224032,204349
25,224046,204394
25,224056,204335
25,224040,204344
25,224051,204345
25,224054,204378
25,224043,204285
25,224050,204359
25,224063,204332
25,224046,204353
25,224045,204290
25,224041,204335
25,224043,204318
25,224048,204339
25,224062,204393
25,224062,204408
25,224058,204360
25,224073,204361
25,224070,204330
25,224060,204345
25,224063,204350
26,224061,204368
26,224082,204301
26,224076,204431
26,224084,204466
26,224087,204354
26,224094,204397
26,224089,204356
26,224094,204357
26,224105,204389
26,224084,204369
26,224095,204339
26,224096,204366
26,224099,204356
26,224093,204312
26,224108,204408
26,224112,204345
26,224097,204384
26,224102,204373
26,224102,204374
26,224101,204376
26,224106,204321
26,224123,204335
26,224110,204309
26,224117,204357
26,224123,204371
26,224126,204394
26,224131,204405
26,224133,204359
26,224135,204390
26,224117,204314
26,224132,204330
26,224120,204439
27,224123,204336
27,224133,204374
27,224132,204427
27,224133,204363
27,224152,204381
27,224143,204387
27,224136,204389
27,224153,204420
27,224151,204468
27,224141,204436
27,224148,204392
27,224148,204385
27,224152,204434
27,224159,204429
27,224149,204427
27,224155,204381
27,224150,204340
27,224162,204396
27,224169,204357
27,224165,204426
27,224168,204354
27,224178,204370
27,224170,204394
27,224170,204343
27,224163,204321
27,224177,204331
27,224165,204332
27,224177,204366
27,224174,204384
27,224165,204370
27,224179,204349
27,224168,204366
28,224163,204376
28,224180,204380
28,224179,204417
28,224177,204405
28,224184,204409
28,224193,204391
28,224181,204360
28,224179,204385
28,224184,204409
28,224168,204378
28,224166,204466
28,224161,204377
28,224130,204398
28,224115,204325
28,224098,204313
28,224088,204380
28,224046,204333
28,224032,204409
28,224017,204308
28,223982,204313
28,223977,204320
28,223967,204251
28,223926,204299
28,223921,204264
28,223925,204284
28,223920,204306
28,223890,204254
28,223919,204349
28,223922,204305
28,223916,204307
28,223917,204295
28,223917,204300
29,223930,204295
29,224009,204294
29,224004,204257
29,224011,204298
29,224004,204271
29,223995,204319
29,224003,204260
29,223990,204268
29,224002,204242
29,224032,204317
29,224015,204270
29,224013,204234
29,224021,204289
29,224018,204216
29,224022,204262
29,224016,204328
29,224036,204257
29,224016,204283
29,224015,204312
29,224006,204272
29,224010,204297
29,223992,204308
29,224005,204293
29,223999,204340
29,223985,204296
29,224000,204257
29,224007,204179
29,223996,204237
29,224005,204263
29,224012,204204
29,224008,204189
29,224017,204157
30,224018,204166
30,224032,204163
30,224037,204167
30,224032,204201
30,224037,204173
30,224045,204142
30,224046,204202
30,224046,204189
30,224042,204212
30,224051,204218
30,224048,204137
30,224055,204195
30,224070,204210
30,224068,204148
30,224056,204155
30,224061,204183
30,224058,204241
30,224057,204183
30,224067,204131
30,224069,204220
30,224064,204205
30,224064,204187
30,224062,204169
30,224075,204172
30,224070,204212
30,224074,204158
30,224058,204157
30,224062,204152
30,224084,204140
30,224075,204204
30,224070,204258
30,224072,204155
31,224076,204133
31,224107,204204
31,224113,204214
31,224119,204217
31,224098,204124
31,224112,204189
31,224111,204197
31,224121,204183
31,224117,204213
31,224123,204193
31,224122,204170
31,224121,204167
31,224118,204219
31,224101,204187
31,224118,204159
31,224128,204178
31,224127,204130
31,224122,204133
31,224119,204186
31,224129,204118
31,224118,204116
31,224131,204159
31,224139,204186
31,224134,204148
31,224136,204138
31,224152,204158
31,224152,204163
31,224145,204152
31,224162,204154
31,224152,204224
31,224149,204152
31,224148,204118
32,224162,204096
32,224161,204174
32,224152,204245
32,224140,204115
32,224133,204154
32,224122,204131
32,224087,204174
32,224067,204148
32,224051,204097
32,224025,204161
32,223993,204163
32,223977,204119
32,223904,204046
32,223901,204096
32,223906,204096
32,223901,204097
32,223907,204038
32,223910,204059
32,223911,204089
32,223911,204071
32,223918,204134
32,223922,204067
32,223923,204017
32,223934,204091
32,223956,204124
32,223945,204121
32,223938,204068
32,223954,204128
32,223952,204106
32,223950,204031
32,223968,204067
32,223967,204048
33,223954,204116
33,223960,204082
33,223948,204092
33,223967,204090
33,223962,204103
33,223959,204125
33,223962,204105
33,223969,204086
33,223987,204082
33,223972,204091
33,223986,204088
33,223979,204102
33,223969,204118
33,223981,204103
33,223972,204106
33,223956,204089
33,223970,204175
33,223969,204151
33,223953,204094
33,223964,204127
33,223974,204114
33,223961,204104
33,223997,204133
33,223988,204180
33,223982,204072
33,223987,204066
33,223998,204057
33,223996,204101
33,223991,204079
33,223996,204043
33,223990,204168
33,223978,204076
34,223991,204140
34,223982,204076
34,223984,204032
34,223996,204087
34,223994,204084
34,223997,204073
34,223998,204081
34,223990,204095
34,224007,204079
34,224014,204116
34,223996,204044
34,224006,204050
34,224016,204071
34,224006,204060
34,224020,204105
34,224030,204097
34,224037,204138
34,224025,204137
34,224046,204198
34,224030,204109
34,224025,204159
34,224039,204174
34,224027,204135
34,224027,204121
34,224037,204123
34,224031,204184
34,224023,204166
34,224044,204095
34,224042,204167
34,224042,204191
34,224047,204167
34,224042,204154
35,224044,204139
35,224047,204120
35,224062,204193
35,224053,204101
35,224048,204081
35,224073,204069
35,224063,204122
35,224051,204098
35,224072,204173
35,224073,204095
35,224063,204092
35,224083,204146
35,224069,204067
35,224063,204092
35,224075,204089
35,224086,204079
35,224077,204147
35,224080,204171
35,224083,204179
35,224087,204084
35,224087,204151
35,224081,204144
35,224089,204218
35,224094,204148
35,224108,204145
35,224114,204074
35,224099,204158
35,224096,204180
35,224086,204175
35,224068,204168
35,224060,204124
35,224049,204102
36,224017,204131
36,223866,204134
36,223860,204060
36,223875,204102
36,223859,204126
36,223858,204059
36,223860,204125
36,223865,204102
36,223860,203963
36,223870,204008
36,223878,204014
36,223889,204003
36,223896,204019
36,223892,204027
36,223905,204001
36,223918,204043
36,223903,204044
36,223923,203948
36,223929,204017
36,223916,203995
36,223932,203968
36,223946,204030
36,223950,203985
36,223952,203971
36,223962,204018
36,223958,204036
36,223967,204040
36,223965,203985
36,223962,204104
36,223966,204014
36,223985,204027
36,223985,204068
37,223985,203980
37,223978,204009
37,223967,203942
37,223992,203994
37,224005,203959
37,223978,203974
37,223981,203998
